"id","code","name","city","country","additional_info"
13,AG,V.C. Bird International Airport (ANU),Saint John’s,Antigua & Barbuda,"All in.
Children: 0-2yo - free; 2-12yo - 250,00 Last minute requests (<3 days) + 25% Dec. 24th, 25th  & Jan 1st  + 50%"
14,AR,Aeropuerto Internacional Ezeiza (Ministro Pistarini International Airport) (EZE),Buenos Aires,Argentina,"Terminal “A” only! VIP lounge incl.
Private transportation from/to a/c – N/A Porter services - 75,00 (up to 4 bags) Children: 0-2yo - free; 2-12yo – no discount
Last minute request (<2 days) + 25%"
15,AR,Aeropuerto Internacional Ezeiza (Ministro Pistarini International Airport) (EZE),Buenos Aires,Argentina,"Business lounge incl. (departure only) Porter services - 55,00 (up to 4 bags)
Children: 0-12yo - 155,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
16,AR,Aeropuerto Internacional Ezeiza (Ministro Pistarini International Airport) (EZE),Buenos Aires,Argentina,"VIP lounge - 135,00 p/P
Porter services - 55,00 (up to 4 bags) Children: 0-2yo - free; 2-12yo – no discount Last minute request (<2 days) + 25%"
17,AR,Aeroparque Jorge Newbery (AEP),Buenos Aires,Argentina,"25% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 75,00 p/P Porter services - 65,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 155,00 (arrival or departure); 220,00 (transit)
Last minute request (<2 days) + 25%"
18,AR,Ingeniero Aeronautico Ambrosio L. V. Taravella International Airport (COR),Cordoba,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 75,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
19,AR,Comandante Armando Tola International Airport (TFE),El Calafate Santa Cruz,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 65,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
20,AR,Cataratas del Iguazu International Airport (IGR),Iguazu,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 65,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
21,AR,Governor Francisco Gabrielli International Airport (MDZ),Mendoza,Argentina,"Business lounge - 135,00 p/P – by request Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 195,00 (arrival or departure)
Last minute request (<2 days) + 25%"
22,AR,San Carlos de Barlioche Airport (Teniente Luis Candelaria Airport) (BRC),San Carlos,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 65,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
49,AU,Perth Airport (PER),Perth,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
23,AR,Martin Miguel de Güemes International Airport (SLA),Salta,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 65,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
24,AR,Aeropuerto Internacional de Rosario - Islas Malvinas (ROS),Rosario,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 65,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
25,AR,Malvinas Argentinas Ushuaia International Airport (USH),Ushuaia,Argentina,"50% - Sundays & Holidays surcharge
Business lounge for ECO pax (departure) - 65,00 p/P Porter services - 55,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 145,00 (arrival or departure); 190,00 (transit)
Last minute request (<2 days) + 25%"
26,AM,Zvartnots Airport (EVN),Yerevan,Armenia,"Porter' services incl.
Transit/Connecting services – by request Children: 0-2yo - free; 2-12yo - 245,00 (arrival or departure)
Last minute request (<2 days) + 25%"
27,AW,Queen Beatrix International Airport (AUA),Oranjestad,Aruba,"Porter' services - 45,00 EUR (up to 3-4 bags) Children: 0-2yo - free; 2-11yo - 95,00 (arrival or departure); 130,00 (transit)
Last minute request (<3 days) + 25%
100% extra charge – National & Banking holidays (i.e. 1.1, 25.1, 04.3, 18.3. 19.4, 22.4, 27.4, 01.5, 30.5, 24-
26.12)"
28,AU,Adelaide International Airport (ADL),Adelaide,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
29,AU,Brisbane – Queensland International Airport (BNE),Brisbane,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
30,AU,Broome International Airport (BME),Broome,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
31,AU,Bundaberg Airport (BDB),Bundaberg,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
32,AU,Cairns – Queensland International Airport (CNS),Cairns,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
33,AU,Canberra International Airport (CBR),Canberra,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
34,AU,Coffs Harbour Airport (CFS),Coffs Harbour,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance Last minute requests + 30%"
35,AU,Darwin Airport (DRW),Darwin,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance Last minute requests + 30%"
36,AU,Emerald Airport (EMD),Emerald,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
37,AU,Christmas Island International Airport (XCH),Flying Fish Cove – Christmas Island,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance Last minute requests + 30%"
38,AU,Gladstone Airport (GLT),Gladstone,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
39,AU,Coolangatta – Queensland Airport (OOL),Gold Coast,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
40,AU,Great Barrier Reef Airport (HTI),Hamilton Island,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
41,AU,Hobart International Airport (HBA),Hobart,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
42,AU,Launceston Airport (LST),Launceston,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
43,AU,Longreach Airport (LRE),Longreach,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance Last minute requests + 30%"
44,AU,Mackay Airport (MKY),Mackay,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
45,AU,Tullamarine International Airport (MEL),Melbourne,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
46,AU,Miles Airport (WLE),Miles,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
47,AU,Mount Isa Airport (ISA),Mount Isa,Australia,"Business lounge for ECO pax (departure) - 70,00 p/P Porter services - 85,00 (upto 4 bags)
Infants 0-2 yo - free; Children - no discount Booking - min. 3 working days in advance
Last minute requests + 30%"
